#module;#attribute
IUP::Label;PADDING
IUP::Label;SEPARATOR
IUP::Label;TITLE
IUP::Label;WIDGETPANGOLAYOUT
IUP::Label;WORDWRAP
IUP::LayoutDialog;DESTROYWHENCLOSED
IUP::List;1
IUP::List;APPEND
IUP::List;APPENDITEM
IUP::List;AUTOHIDE
IUP::List;AUTOREDRAW
IUP::List;BGCOLOR
IUP::List;CARET
IUP::List;CARETPOS
IUP::List;CLIPBOARD
IUP::List;COUNT
IUP::List;CUEBANNER
IUP::List;DRAGDROP
IUP::List;DROPDOWN
IUP::List;DROPEXPAND
IUP::List;EDITBOX
IUP::List;FGCOLOR
IUP::List;FILTER
IUP::List;IDVALUE
IUP::List;INSERT
IUP::List;INSERTITE
IUP::List;INSERTITEM
IUP::List;MASK
IUP::List;MASKCASEI
IUP::List;MASKFLOAT
IUP::List;MASKINT
IUP::List;MULTIPLE
IUP::List;NC
IUP::List;OLD_MASK_DATA
IUP::List;PADDING
IUP::List;READONLY
IUP::List;REMOVEITEM
IUP::List;SCROLLBAR
IUP::List;SCROLLTO
IUP::List;SCROLLTOPOS
IUP::List;SELECTEDTEXT
IUP::List;SELECTION
IUP::List;SELECTIONPOS
IUP::List;SHOWDROPDOWN
IUP::List;SORT
IUP::List;SPACING
IUP::List;TOPITEM
IUP::List;VALUE
IUP::List;VISIBLECOLUMNS
IUP::List;VISIBLELINES
IUP::List;VISIBLE_ITEMS
IUP::Matrix;ADDCOL
IUP::Matrix;ADDLIN
IUP::Matrix;ALIGNMENT
IUP::Matrix;AREA
IUP::Matrix;BGCOLOR
IUP::Matrix;CARET
IUP::Matrix;COUNT
IUP::Matrix;DELCOL
IUP::Matrix;DELLIN
IUP::Matrix;EDITNEXT
IUP::Matrix;EDIT_MODE
IUP::Matrix;FGCOLOR
IUP::Matrix;FITMAXHEIGHT
IUP::Matrix;FITMAXWIDTH
IUP::Matrix;FITTOSIZE
IUP::Matrix;FITTOTEXT
IUP::Matrix;FOCUS_CELL
IUP::Matrix;FRAMECOLOR
IUP::Matrix;FRAMEHORIZCOLOR
IUP::Matrix;FRAMEVERTCOLOR
IUP::Matrix;HEIGHT
IUP::Matrix;HEIGHTDEF
IUP::Matrix;HIDDENTEXTMARKS
IUP::Matrix;HIDEFOCUS
IUP::Matrix;IDVALUE
IUP::Matrix;MARK
IUP::Matrix;MARKAREA
IUP::Matrix;MARKED
IUP::Matrix;MARKMODE
IUP::Matrix;MARKMULTIPLE
IUP::Matrix;MARK_MODE
IUP::Matrix;MASK
IUP::Matrix;MULTILINE
IUP::Matrix;MULTIPLE
IUP::Matrix;NUMCOL
IUP::Matrix;NUMCOL_VISIBLE
IUP::Matrix;NUMCOL_VISIBLE_LAST
IUP::Matrix;NUMLIN
IUP::Matrix;NUMLIN_VISIBLE
IUP::Matrix;NUMLIN_VISIBLE_LAST
IUP::Matrix;OLD_MASK_DATA
IUP::Matrix;ORIGIN
IUP::Matrix;RASTERHEIGHT
IUP::Matrix;RASTERWIDTH
IUP::Matrix;READONLY
IUP::Matrix;REDRAW
IUP::Matrix;RESIZEMATRIX
IUP::Matrix;SELECTION
IUP::Matrix;SHOW
IUP::Matrix;SORTSIGN
IUP::Matrix;USETITLESIZE
